EPOCH,PSNR,SSIM
5,25.43138913,0.738191448
10,25.98580517,0.751684031
15,26.24855544,0.757294746
20,26.35931244,0.760024466
25,26.42471671,0.762125597
30,26.3720123,0.762460397
35,26.48110201,0.763618448
40,26.50670971,0.765330452
45,26.53945957,0.765555173
50,26.56004366,0.765869308
55,26.56309276,0.767373608
60,26.60473427,0.767113691
65,26.63020043,0.767237032
70,26.61596426,0.766829044
75,26.61342544,0.766905213
80,26.63862287,0.767402677
85,26.67410077,0.768040401
90,26.69015268,0.76930273
95,26.67700569,0.768920618
100,26.65193839,0.767262185
105,26.66026044,0.768124921
110,26.70641441,0.769235576
115,26.72126134,0.76975122
120,26.71059005,0.769194748
125,26.72014875,0.769991033
130,26.72631428,0.77048689
135,26.70680914,0.769404544
140,26.68692369,0.769988212
145,26.74579878,0.770548316
150,26.70504389,0.770467475
155,26.72726625,0.770715802
160,26.73740526,0.769680301
165,26.74415766,0.77065355
170,26.75253942,0.770843605
175,26.73891993,0.770764404
180,26.73790702,0.771149018
185,26.75659826,0.770931371
190,26.77660897,0.771278829
195,26.75782819,0.770486698
200,26.77516665,0.771472366